process,winlog,@timestamp,file
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:16.692Z,{'path': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Manaa57fc8cc#\\8861280fa67d054530cfebe1fa86e29f\\System.Management.Automation.ni.dll'}
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:21.804Z,{'path': 'C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\clrjit.dll'}
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:16.682Z,{'path': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\mscorlib\\3597805b7d7dce423abb491985dd28e8\\mscorlib.ni.dll'}
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:21.649Z,{'path': 'C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscoreei.dll'}
{'name': 'csc.exe'},{'task': 'File Executable Detected (rule: FileExecutableDetected)'},2025-03-26T17:13:17.244Z,{'path': 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\dtxtfn0b\\dtxtfn0b.dll'}
{'name': 'ps_script.exe'},{'task': 'File created (rule: FileCreate)'},2025-03-26T17:13:16.772Z,{'path': 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\__PSScriptPolicyTest_e2i3fm1w.eho.ps1'}
{'name': 'ps_script.exe'},{'task': 'File Delete archived (rule: FileDelete)'},2025-03-26T17:13:17.257Z,{'path': 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\dtxtfn0b\\dtxtfn0b.cmdline'}
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:16.865Z,{'path': 'C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\clrjit.dll'}
{'name': 'ps_script.exe'},{'task': 'File created (rule: FileCreate)'},2025-03-26T17:13:21.388Z,{'path': 'C:\\Users\\Administrator\\AppData\\Local\\Microsoft\\Windows\\PowerShell\\StartupProfileData-NonInteractive'}
{'name': 'csc.exe'},{'task': 'File Delete archived (rule: FileDelete)'},2025-03-26T17:13:17.244Z,{'path': 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\dtxtfn0b\\dtxtfn0b.dll'}
{'name': 'ps_script.exe'},{'task': 'File Delete archived (rule: FileDelete)'},2025-03-26T17:13:17.257Z,{'path': 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\dtxtfn0b\\dtxtfn0b.dll'}
"{'parent': {'name': 'ps_script.exe', 'command_line': '""ps_script.exe"" & {# Add user32.dll for keybd_event\nAdd-Type @\\""""\n    using System;\n    using System.Runtime.InteropServices;\n    public class K {\n        [DllImport(\\""""user32.dll\\"""")]\n        public static extern void keybd_event(byte bVk, byte bScan, uint dwFlags, UIntPtr dwExtraInfo);\n    }\n\\""""@\n\n# Virtual key codes\n$VK_LWIN, $VK_R, $KEYDOWN, $KEYUP = 0x5B, 0x52, 0x0000, 0x0002\n\n# Open Run dialog (Win+R)\n[K]::keybd_event($VK_LWIN, 0, $KEYDOWN, [UIntPtr]::Zero)\n[K]::keybd_event($VK_R, 0, $KEYDOWN, [UIntPtr]::Zero)\n[K]::keybd_event($VK_R, 0, $KEYUP, [UIntPtr]::Zero)\n[K]::keybd_event($VK_LWIN, 0, $KEYUP, [UIntPtr]::Zero)\n\n# Short delay for Run dialog\nStart-Sleep -Milliseconds 500\nAdd-Type -AssemblyName System.Windows.Forms\n[System.Windows.Forms.SendKeys]::SendWait(\\""""cmd /c powershell -ec \\"""" + [Convert]::ToBase64String([System.Text.Encoding]::Unicode.GetBytes(\'calc.exe\')) + \\""""{ENTER}\\"""")}'}, 'name': 'csc.exe', 'command_line': '""C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\csc.exe"" /noconfig /fullpaths @""C:\\Users\\Administrator\\AppData\\Local\\Temp\\dtxtfn0b\\dtxtfn0b.cmdline""'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:13:17.072Z,
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:16.789Z,{'path': 'C:\\Windows\\System32\\urlmon.dll'}
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:16.661Z,{'path': 'C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\clr.dll'}
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:21.770Z,{'path': 'C:\\Windows\\System32\\urlmon.dll'}
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:21.664Z,{'path': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\mscorlib\\3597805b7d7dce423abb491985dd28e8\\mscorlib.ni.dll'}
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:21.649Z,{'path': 'C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\clr.dll'}
{'name': 'calc.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:21.975Z,{'path': 'C:\\Windows\\System32\\urlmon.dll'}
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:16.661Z,{'path': 'C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\mscoreei.dll'}
{'name': 'ps_script.exe'},{'task': 'File created (rule: FileCreate)'},2025-03-26T17:13:21.738Z,{'path': 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\__PSScriptPolicyTest_zotdthxk.3we.ps1'}
{'name': 'ps_script.exe'},{'task': 'File Delete archived (rule: FileDelete)'},2025-03-26T17:13:16.811Z,{'path': 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\__PSScriptPolicyTest_e2i3fm1w.eho.ps1'}
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:16.754Z,{'path': 'C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25010.11-0\\MpOAV.dll'}
"{'parent': {'name': 'ps_script.exe', 'command_line': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\ps_script.exe"" '}, 'name': 'ps_script.exe', 'command_line': '""ps_script.exe"" & {# Add user32.dll for keybd_event\nAdd-Type @\\""""\n    using System;\n    using System.Runtime.InteropServices;\n    public class K {\n        [DllImport(\\""""user32.dll\\"""")]\n        public static extern void keybd_event(byte bVk, byte bScan, uint dwFlags, UIntPtr dwExtraInfo);\n    }\n\\""""@\n\n# Virtual key codes\n$VK_LWIN, $VK_R, $KEYDOWN, $KEYUP = 0x5B, 0x52, 0x0000, 0x0002\n\n# Open Run dialog (Win+R)\n[K]::keybd_event($VK_LWIN, 0, $KEYDOWN, [UIntPtr]::Zero)\n[K]::keybd_event($VK_R, 0, $KEYDOWN, [UIntPtr]::Zero)\n[K]::keybd_event($VK_R, 0, $KEYUP, [UIntPtr]::Zero)\n[K]::keybd_event($VK_LWIN, 0, $KEYUP, [UIntPtr]::Zero)\n\n# Short delay for Run dialog\nStart-Sleep -Milliseconds 500\nAdd-Type -AssemblyName System.Windows.Forms\n[System.Windows.Forms.SendKeys]::SendWait(\\""""cmd /c powershell -ec \\"""" + [Convert]::ToBase64String([System.Text.Encoding]::Unicode.GetBytes(\'calc.exe\')) + \\""""{ENTER}\\"""")}'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:13:16.605Z,
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:21.680Z,{'path': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Manaa57fc8cc#\\8861280fa67d054530cfebe1fa86e29f\\System.Management.Automation.ni.dll'}
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:16.661Z,{'path': 'C:\\Windows\\System32\\mscoree.dll'}
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:21.723Z,{'path': 'C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25010.11-0\\MpOAV.dll'}
{'name': 'ps_script.exe'},{'task': 'File created (rule: FileCreate)'},2025-03-26T17:13:21.919Z,{'path': 'C:\\Users\\Administrator\\AppData\\Local\\Microsoft\\Windows\\PowerShell\\StartupProfileData-NonInteractive'}
"{'parent': {'name': 'command.exe', 'command_line': '""C:\\Windows\\system32\\command.exe"" /c powershell -ec YwBhAGwAYwAuAGUAeABlAA=='}, 'name': 'ps_script.exe', 'command_line': 'powershell  -ec YwBhAGwAYwAuAGUAeABlAA=='}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:13:21.625Z,
"{'parent': {'name': 'explorer.exe', 'command_line': 'C:\\Windows\\Explorer.EXE'}, 'name': 'command.exe', 'command_line': '""C:\\Windows\\system32\\command.exe"" /c powershell -ec YwBhAGwAYwAuAGUAeABlAA=='}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:13:21.354Z,
{'name': 'ps_script.exe'},{'task': 'File Delete archived (rule: FileDelete)'},2025-03-26T17:13:21.770Z,{'path': 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\__PSScriptPolicyTest_zotdthxk.3we.ps1'}
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:21.631Z,{'path': 'C:\\Windows\\System32\\mscoree.dll'}
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:21.866Z,{'path': 'C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25010.11-0\\MpClient.dll'}
{'name': 'ps_script.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:13:16.909Z,{'path': 'C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25010.11-0\\MpClient.dll'}
"{'parent': {'name': 'ps_script.exe', 'command_line': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\ps_script.exe"" '}, 'name': 'whoami.exe', 'command_line': '""C:\\Windows\\system32\\whoami.exe""'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:13:16.383Z,
